Date,Open,High,Low,Close,Volume
10/31/2019 15:30:00,572.88,585,569.28,581.38,2924499
11/1/2019 15:30:00,579.45,583.5,571.7,576,1065855
11/4/2019 15:30:00,580.03,583.15,576.03,577.95,1511084
11/5/2019 15:30:00,578.05,580.3,571.67,579.35,1439050
11/6/2019 15:30:00,580,580.03,570.6,574.17,2288329
11/7/2019 15:30:00,574.5,577.1,568.05,574.23,1269319
11/8/2019 15:30:00,574.17,582.2,573.05,575.05,2013290
11/11/2019 15:30:00,575,576.85,565.1,572.98,953320
11/13/2019 15:30:00,575,578.05,567.35,569.3,1689175
11/14/2019 15:30:00,570.75,578.7,567.55,573.9,1270462
11/15/2019 15:30:00,575.48,579.9,570,571.15,1530856
11/18/2019 15:30:00,574,574.85,569.4,570.55,1242157
11/19/2019 15:30:00,569.5,571.75,564.33,567.33,1182510
11/20/2019 15:30:00,567.5,568.85,562.75,566.4,1112518
11/21/2019 15:30:00,569.3,574.25,565.78,568.3,1938092
11/22/2019 15:30:00,565.23,567.48,554.48,557.38,1298964
11/25/2019 15:30:00,558.5,563.05,553.03,562.38,846601
11/26/2019 15:30:00,563.25,567.25,549.23,554.03,3229962
11/27/2019 15:30:00,554.5,567.2,554.5,564.13,1677156
11/28/2019 15:30:00,569.5,571.7,562.75,566.33,1206558
11/29/2019 15:30:00,568,568.42,562.55,563.83,1193851
12/2/2019 15:30:00,569.5,0,0,563.75,0
12/3/2019 15:30:00,564.98,565.5,560.5,562.28,1783831
12/4/2019 15:30:00,563.5,565,558.23,562.75,2951568
12/5/2019 15:30:00,563.8,567.65,557.15,560.9,2683884
12/6/2019 15:30:00,563.9,567.05,558.65,560.3,1659752
12/9/2019 15:30:00,562.55,563.2,547,552.05,2192234
12/10/2019 15:30:00,552.05,554.9,541.8,544.45,1628853
12/11/2019 15:30:00,545,549.9,539.45,543.8,2387958
12/12/2019 15:30:00,547.3,547.8,535.05,536.35,2061911
12/13/2019 15:30:00,538,545,536.8,543.15,2889796
12/16/2019 15:30:00,546,554.95,545.05,552.2,4590144
12/17/2019 15:30:00,555.5,559,552.5,557.75,3852266
12/18/2019 15:30:00,560,566.95,559,564.7,4618387
12/19/2019 15:30:00,565.5,574,564.75,569.5,3465644
12/20/2019 15:30:00,573.5,573.75,565.5,569.9,3135806
12/23/2019 15:30:00,567.5,575.55,566.55,570.95,1591463
12/24/2019 15:30:00,572,572.65,559.3,560.55,2354963
12/26/2019 15:30:00,561.65,565,559.55,560.5,1848547
12/27/2019 15:30:00,562.95,569,557,567.55,2786795
12/30/2019 15:30:00,567,577.5,564.25,569.3,1800754
12/31/2019 15:30:00,569.1,571.5,565.05,568.1,1838808
1/1/2020 15:30:00,569.4,572.9,566.85,571.95,918373
1/2/2020 15:30:00,572.55,575,570.5,573.55,1075642
